recipe_name,ingredients,location,restaurant_type,cuisine_type,dish_category,price_point,price_range,cooking_method,spice_level,dietary_tags,preparation_time,instructions,launch_date,season,neighborhood_type,population_density,area_income_level,region,avg_monthly_sales,customer_rating,review_count,profit_margin,food_cost,success
Chole Kulche,"coriander, ginger, kidney beans, butter",Pune India,fast_food,punjabi,appetizer,11.53,budget,steamed,mild,high_protein,42,,2022-10-26,fall,tourist_area,high,medium,india,484,4.3,71,0.49,5.66,1
Quesadillas,"beef, herbs, garlic, corn tortillas, salt, vegetables, cream",Kochi India,food_truck,mexican,side_dish,5.69,budget,sauteed,very_hot,high_protein,31,,2022-12-20,winter,business_district,medium,medium,india,125,4.2,20,0.44,3.45,1
Chicken Manchurian,"soy sauce, garlic, spring onions, herbs, salt, rice, lime",Lucknow India,cafe,indo_chinese,main_course,9.25,budget,sauteed,hot,none,16,,2023-03-27,spring,business_district,medium,low,india,94,4.4,17,0.53,3.73,1
Deluxe Kulfi Falooda,"pepper, oil, yogurt, herbs, chickpeas, lime, lemon, spices",Pune India,fine_dining,indian_street_food,dessert,46.65,luxury,fried,mild,"vegan,mild,high_protein",11,,2022-11-03,fall,downtown,high,medium,india,69,4.6,12,0.44,26.28,1
Idli Sambhar,"mustard seeds, jaggery, salt, vegetables, cream, urad dal, spices",Lucknow India,casual_dining,south_indian,beverage,14.31,budget,roasted,hot,"keto,vegetarian,high_protein",44,,2023-11-25,fall,suburban,medium,low,india,218,4.8,34,0.59,6.29,1
Premium Chole Tikki,"vegetables, mint chutney, garlic, green chilies, sev, pepper, tamarind chutney, herbs",Hyderabad India,fine_dining,indian_street_food,side_dish,29.38,upscale,raw,mild,"keto,dairy_free,paleo",26,,2022-07-14,summer,suburban,high,medium,india,172,5.0,27,0.54,14.07,1
Mawa Kachori,"salt, onion, yogurt, garlic, cardamom",Leicester UK,casual_dining,rajasthani,side_dish,13.23,budget,baked,medium,"high_protein,keto",17,,2022-12-13,winter,residential,medium,medium,europe,182,4.9,26,0.59,5.83,1
Nachos,"chili peppers, cheese, cream, vegetables, beef, chicken",Chennai India,food_truck,mexican,dessert,5.36,budget,sauteed,very_hot,"vegan,dairy_free",45,,2023-09-27,fall,tourist_area,high,medium,india,107,4.5,24,0.51,2.84,1
Butter Chicken,"pepper, onion, basmati rice, paneer, coriander, onions",Goa India,cafe,north_indian,beverage,7.93,budget,steamed,hot,"spicy,gluten_free,low_carb",36,,2023-05-17,spring,tourist_area,low,medium,india,132,3.9,24,0.41,4.42,1
Signature Lasagna,"onion, lemon, tomatoes, lime, olive oil, mozzarella, salt",London UK,fine_dining,italian,main_course,73.19,luxury,raw,medium,none,23,,2023-07-22,summer,business_district,high,high,europe,104,4.8,13,0.63,21.96,1
Idli Sambhar,"urad dal, sambar powder, tamarind, salt",Austin TX,casual_dining,south_indian,side_dish,12.68,mid_range,baked,mild,keto,36,,2024-01-30,winter,business_district,medium,medium,north_america,136,4.4,34,0.5,5.3,1
Ghewar,"red meat, cream, oil, vegetables",Ahmedabad India,casual_dining,rajasthani,appetizer,14.29,budget,steamed,very_hot,none,19,,2022-11-26,fall,downtown,high,medium,india,297,4.5,62,0.46,9.24,1
Hakka Noodles,"green chilies, cornflour, spices, vegetables",Ahmedabad India,fine_dining,indo_chinese,beverage,56.64,luxury,fried,very_hot,"high_protein,low_carb",30,,2022-04-08,spring,residential,high,medium,india,99,4.7,12,0.6,18.81,1
Hot Pot,"soy sauce, lime, oil, onion, butter",Chicago IL,fast_food,chinese,dessert,11.78,budget,raw,very_hot,none,29,,2023-09-07,fall,tourist_area,high,medium,north_america,468,3.7,108,0.4,5.95,1
Premium Bengali Thali,"jaggery, potatoes, mustard oil, mustard seeds, poppy seeds, fish, herbs, salt",Jaipur India,fine_dining,bengali,dessert,28.63,upscale,roasted,hot,"paleo,vegetarian",35,,2022-05-27,spring,downtown,medium,low,india,157,5.0,18,0.52,13.14,1
Karimeen Fish,"jaggery, onion, black pepper, butter, fish, green chilies, spices, garlic",Hyderabad India,fine_dining,kerala,beverage,30.46,upscale,roasted,very_hot,"spicy,high_protein,low_carb",42,,2024-02-13,winter,downtown,high,medium,india,78,4.6,18,0.51,15.82,1
Classic Margherita Pizza,"mozzarella, lemon, garlic, lime, tomato sauce",Los Angeles CA,casual_dining,italian,beverage,16.94,mid_range,roasted,very_hot,gluten_free,24,,2023-12-22,winter,business_district,high,high,north_america,379,5.0,43,0.64,4.95,1
Mumbai Street Food,"coconut, green chilies, vegetables, lemon, lime, oil, rice flour",New York NY,cafe,maharashtrian,dessert,9.07,budget,fried,very_hot,"vegan,low_carb",37,,2022-09-07,fall,business_district,high,high,north_america,100,4.1,16,0.45,4.63,1
Handvo,"oil, salt, butter, ginger, garlic",Seattle WA,fast_food,gujarati,main_course,6.24,budget,sauteed,medium,none,41,,2023-10-06,fall,residential,medium,high,north_america,620,4.2,176,0.54,3.04,1
Premium Palak Paneer,"cumin, turmeric, ginger garlic paste, garlic, coriander, lime",Kochi India,fine_dining,north_indian,dessert,42.28,luxury,steamed,very_hot,none,14,,2022-10-21,fall,downtown,medium,medium,india,142,4.7,30,0.62,17.82,1
Mumbai Street Food,"kokum, pepper, lime, pav bread, coconut",Los Angeles CA,cafe,maharashtrian,appetizer,5.49,budget,sauteed,medium,none,38,,2023-03-25,spring,business_district,high,high,north_america,114,4.1,32,0.47,3.23,1
Pav Bhaji,"spices, oil, lemon, butter, prawns, pav bread, ginger garlic, herbs",London UK,food_truck,maharashtrian,dessert,6.54,budget,baked,very_hot,spicy,29,,2022-03-28,spring,business_district,high,high,europe,175,4.0,21,0.52,3.72,1
Hot and Sour Soup,"broth, butter, spices, seasonings, pepper, green chilies",London UK,food_truck,indo_chinese,main_course,4.48,budget,fried,medium,none,42,,2022-04-14,spring,business_district,high,high,europe,204,4.3,47,0.58,1.97,1
Vada,"onion, curry leaves, fenugreek, oil, tamarind, salt, spices, fish",Kochi India,cafe,south_indian,beverage,6.21,budget,fried,medium,"high_protein,dairy_free",38,,2023-08-08,summer,residential,medium,medium,india,204,4.2,41,0.59,2.9,1
Risotto,"herbs, salt, pasta, spices, butter, lime",Kochi India,casual_dining,italian,main_course,13.19,mid_range,baked,very_hot,low_carb,38,,2022-08-16,summer,tourist_area,medium,medium,india,285,4.4,57,0.51,7.69,1
Pav Bhaji,"prawns, coconut, kokum, lemon, cream, spices",Bangalore India,casual_dining,maharashtrian,beverage,8.13,budget,steamed,mild,none,19,,2022-08-09,summer,business_district,high,medium,india,309,4.5,37,0.47,3.95,1
Premium Greek Salad,"pepper, cucumbers, olive oil, butter, onion, spices, salt, herbs",Los Angeles CA,casual_dining,mediterranean,side_dish,24.67,mid_range,baked,medium,"gluten_free,vegan,nut_free",43,,2022-03-11,spring,business_district,high,high,north_america,292,4.7,52,0.53,12.3,1
Appam with Stew,"herbs, ginger, butter, black pepper",Bangalore India,fine_dining,kerala,dessert,34.29,upscale,sauteed,hot,mild,40,,2023-12-14,winter,suburban,high,medium,india,79,5.0,22,0.47,16.12,1
Bikaneri Bhujia,"cream, wheat flour, red meat, salt, dried berries, garlic, red chilies, lemon",San Francisco CA,fast_food,rajasthani,dessert,7.37,budget,grilled,hot,"low_carb,high_protein,mild",41,,2022-07-11,summer,residential,high,high,north_america,557,4.0,64,0.49,3.62,1
Chef's Pav Bhaji,"lemon, pepper, jaggery, vegetables, onion, spices",Seattle WA,food_truck,maharashtrian,dessert,4.37,budget,steamed,mild,"spicy,low_carb",14,,2022-02-28,winter,residential,medium,high,north_america,171,4.3,22,0.37,3.12,1
Chef's Chicken Tikka Masala,"seasonings, oil, yogurt, ginger garlic paste, turmeric, onions",London UK,cafe,north_indian,beverage,7.18,budget,baked,hot,"vegan,spicy,gluten_free",30,,2023-02-12,winter,tourist_area,high,high,europe,106,3.9,14,0.49,4.23,1
Hummus Plate,"pepper, butter, onion, feta cheese, vegetables, chickpeas",Miami FL,fine_dining,mediterranean,beverage,72.42,luxury,fried,very_hot,none,32,,2022-11-24,fall,downtown,medium,high,north_america,111,5.0,30,0.58,35.8,1
Rajma Chawal,"butter, pepper, ghee, garlic, coriander",Goa India,casual_dining,punjabi,side_dish,23.5,mid_range,baked,very_hot,spicy,29,,2022-03-09,spring,residential,low,medium,india,340,4.5,61,0.49,12.3,1
Falafel Wrap,"feta cheese, herbs, salt, tahini, butter, spices",Austin TX,fine_dining,mediterranean,appetizer,28.29,upscale,raw,mild,keto,24,,2022-11-27,fall,tourist_area,medium,medium,north_america,161,5.0,43,0.52,14.4,1
Chef's Bikaneri Bhujia,"beans, onion, onions, jaggery, herbs",Jaipur India,fine_dining,rajasthani,side_dish,26.62,upscale,baked,mild,none,26,,2023-10-19,fall,suburban,medium,low,india,131,5.0,13,0.61,10.54,1
Signature Lassi,"onions, vegetables, ginger, pepper",Goa India,fine_dining,punjabi,beverage,74.46,luxury,fried,hot,paleo,32,,2022-11-23,fall,residential,low,medium,india,111,4.7,13,0.44,35.17,1
Premium Sweet and Sour Pork,"pepper, lemon, chili, oil, rice, noodles, ginger, herbs",Hyderabad India,casual_dining,chinese,main_course,14.15,budget,raw,medium,"nut_free,high_protein,spicy",11,,2023-05-25,spring,downtown,high,medium,india,300,4.6,44,0.56,5.09,1
Signature Bikaneri Bhujia,"onion, wheat flour, garlic, oil, red chilies, red meat, herbs",Mumbai India,cafe,rajasthani,appetizer,8.59,mid_range,sauteed,medium,"nut_free,keto",38,,2023-06-01,summer,business_district,very_high,medium,india,173,4.3,21,0.57,3.51,1
Paneer Butter Masala,"coriander, ginger garlic paste, basmati rice, herbs, onions, red chili powder, cream",Delhi India,food_truck,north_indian,side_dish,7.66,budget,steamed,medium,paleo,20,,2022-11-23,fall,residential,very_high,medium,india,178,4.5,38,0.5,3.85,1
Deluxe Tikka Masala Pasta,"pepper, sauce, lemon, mixed vegetables",Pune India,food_truck,fusion,side_dish,5.92,budget,steamed,hot,vegetarian,43,,2022-06-24,summer,business_district,high,medium,india,126,4.0,29,0.41,4.14,1
Grilled Salmon,"butter, vegetables, cream, pepper, herbs, olive oil, oil",Miami FL,casual_dining,mediterranean,appetizer,10.28,budget,roasted,medium,nut_free,40,,2023-11-10,fall,business_district,medium,high,north_america,162,4.3,33,0.5,5.54,1
Deluxe Gujarati Thali,"vegetables, spices, garlic, turmeric, pepper",Leicester UK,fine_dining,gujarati,beverage,67.06,luxury,baked,hot,"vegan,spicy",35,,2023-01-24,winter,tourist_area,medium,medium,europe,89,4.8,14,0.59,25.96,1
Gujarati Thali,"besan, spices, ginger, butter, salt, herbs",Hyderabad India,fine_dining,gujarati,main_course,49.31,luxury,fried,mild,mild,36,,2022-04-13,spring,tourist_area,high,medium,india,80,5.0,10,0.63,21.68,1
Deluxe Butter Chicken Poutine,"seasonings, lime, onion, butter, lemon, garlic",Seattle WA,cafe,fusion,appetizer,15.98,mid_range,fried,very_hot,vegetarian,41,,2023-02-11,winter,suburban,medium,high,north_america,233,4.6,64,0.42,9.53,1
Shakshuka,"feta cheese, cream, olive oil, spices, onion, oregano, chickpeas",Miami FL,fine_dining,mediterranean,dessert,69.46,luxury,fried,very_hot,"gluten_free,vegetarian",22,,2022-10-30,fall,suburban,medium,high,north_america,176,5.0,46,0.56,25.67,1
Palak Paneer,"tomatoes, cumin, oil, paneer, pepper",London UK,fast_food,north_indian,dessert,6.83,budget,baked,hot,none,25,,2023-01-04,winter,downtown,high,high,europe,551,4.1,99,0.53,3.73,1
Mawa Kachori,"onion, cream, pepper, herbs, garlic",Birmingham UK,fine_dining,rajasthani,beverage,38.61,upscale,roasted,very_hot,dairy_free,15,,2023-09-03,fall,business_district,high,medium,europe,173,4.7,49,0.44,24.28,1
Fish Curry,"lentils, herbs, chana dal, rice, curry leaves, lime, vegetables",Ahmedabad India,casual_dining,south_indian,beverage,11.2,budget,raw,mild,"gluten_free,nut_free,low_carb",45,,2022-03-01,spring,residential,high,medium,india,215,4.7,38,0.58,5.21,1
Chicken 65,"lime, vinegar, rice, spring onions, seasonings, vegetables, butter, salt",Lucknow India,fast_food,indo_chinese,beverage,9.78,budget,baked,very_hot,"low_carb,mild,vegan",44,,2023-11-09,fall,suburban,medium,low,india,455,3.9,135,0.49,4.24,1
Ghewar,"vegetables, yogurt, oil, butter, herbs, pepper, garlic, onion",Toronto Canada,fast_food,rajasthani,dessert,10.67,budget,fried,mild,none,11,,2023-03-06,spring,suburban,high,high,north_america,267,4.0,50,0.5,6.08,1
Hummus Plate,"feta cheese, cream, lemon, olives",Toronto Canada,fast_food,mediterranean,side_dish,11.13,budget,baked,hot,keto,43,,2023-11-08,fall,suburban,high,high,north_america,402,3.8,116,0.58,5.43,1
Chicken Parmesan,"parmesan, oil, olive oil, pasta, butter, oregano, lemon",Goa India,cafe,italian,main_course,10.41,mid_range,raw,very_hot,dairy_free,19,,2023-12-26,winter,residential,low,medium,india,191,4.4,35,0.54,4.6,1
Guacamole,"chili peppers, butter, lime, garlic",Vancouver Canada,casual_dining,mexican,beverage,14.45,mid_range,roasted,mild,none,45,,2024-02-19,winter,suburban,medium,high,north_america,235,4.4,66,0.47,6.66,1
Butter Naan,"butter, coriander, lemon, mustard greens, oil, vegetables, garlic",Leicester UK,fast_food,punjabi,dessert,10.33,budget,baked,hot,"high_protein,vegan,mild",23,,2022-11-24,fall,tourist_area,medium,medium,europe,231,4.0,33,0.39,5.69,1
Classic Gatte ki Sabzi,"beans, butter, cream, yogurt, lemon, wheat flour, red chilies",Lucknow India,food_truck,rajasthani,beverage,6.6,budget,steamed,medium,"gluten_free,mild",21,,2023-05-16,spring,business_district,medium,low,india,81,4.4,21,0.43,4.26,1
Naan Bread,"basmati rice, onions, tomatoes, butter",Los Angeles CA,fast_food,north_indian,side_dish,9.32,budget,steamed,hot,none,40,,2023-11-14,fall,residential,high,high,north_america,532,4.1,54,0.49,4.29,1
Idli Sambhar,"urad dal, salt, chana dal, mustard seeds, pepper, butter, tamarind, cream",Mumbai India,fast_food,south_indian,beverage,11.93,budget,grilled,hot,"high_protein,spicy,dairy_free",29,,2022-08-20,summer,downtown,very_high,medium,india,238,3.7,41,0.49,4.98,1
Tikka Masala Pasta,"sauce, fusion spices, pasta, lime, unique toppings, spices",New York NY,casual_dining,fusion,side_dish,14.47,budget,steamed,hot,none,27,,2023-12-02,winter,business_district,high,high,north_america,133,4.3,35,0.42,7.35,1
Gatte ki Sabzi,"oil, jaggery, yogurt, lemon, spices, onion, lime, garlic",Austin TX,cafe,rajasthani,appetizer,6.04,budget,grilled,very_hot,vegan,35,,2024-02-27,winter,tourist_area,medium,medium,north_america,113,4.2,21,0.39,3.74,1
Bhel Puri,"lemon, lime, spices, tamarind chutney, onions, pepper",Chennai India,cafe,indian_street_food,main_course,4.55,budget,roasted,very_hot,"paleo,vegan",38,,2022-11-12,fall,tourist_area,high,medium,india,108,4.0,14,0.49,2.38,1
Quesadillas,"beef, pepper, corn tortillas, oil, butter, cream, chili peppers, lime",Kolkata India,fast_food,mexican,side_dish,7.11,budget,fried,medium,"gluten_free,mild,keto",19,,2023-05-20,spring,downtown,very_high,medium,india,412,4.1,81,0.43,3.66,1
Signature Greek Salad,"lemon, herbs, oil, tahini, garlic, pepper, salt",Toronto Canada,cafe,mediterranean,side_dish,6.87,budget,fried,hot,"spicy,dairy_free",35,,2022-07-01,summer,tourist_area,high,high,north_america,188,4.3,55,0.54,2.92,1
House Special Dim Sum,"soy sauce, sesame oil, rice, butter, lemon",Vancouver Canada,cafe,chinese,dessert,13.07,mid_range,raw,mild,"mild,high_protein,gluten_free",26,,2022-09-05,fall,suburban,medium,high,north_america,218,4.2,41,0.53,6.33,1
Bruschetta,"onion, salt, garlic, vegetables, spices, basil, oregano, tomatoes",Jaipur India,food_truck,italian,side_dish,3.05,budget,roasted,very_hot,"low_carb,vegan",24,,2022-09-22,fall,business_district,medium,low,india,158,4.4,33,0.5,1.45,1
Fish Molee,"pepper, onion, salt, butter, curry leaves, oil",London UK,food_truck,kerala,dessert,5.19,budget,steamed,medium,"paleo,high_protein,vegan",38,,2023-12-15,winter,tourist_area,high,high,europe,66,4.3,8,0.53,2.6,1
House Special Pongal,"curry leaves, salt, garlic, herbs, onion, mustard seeds, oil",London UK,casual_dining,south_indian,beverage,8.03,budget,grilled,medium,"spicy,low_carb,mild",23,,2022-08-08,summer,tourist_area,high,high,europe,139,4.5,36,0.52,3.67,1
Shorshe Ilish,"jaggery, oil, potatoes, spices, herbs, prawns",San Francisco CA,cafe,bengali,dessert,8.24,budget,baked,very_hot,mild,15,,2022-11-01,fall,suburban,high,high,north_america,121,4.0,16,0.52,3.98,1
Chef's Papdi Chaat,"spices, salt, herbs, potatoes, yogurt, garlic, onions, lime",Kolkata India,food_truck,indian_street_food,dessert,7.33,budget,raw,very_hot,none,41,,2022-01-10,winter,suburban,very_high,medium,india,109,4.4,21,0.45,4.33,1
Idli Sambhar,"fish, fenugreek, butter, salt, rice",Kolkata India,cafe,south_indian,dessert,12.58,mid_range,fried,very_hot,"nut_free,mild,vegan",44,,2022-10-02,fall,tourist_area,very_high,medium,india,192,3.9,46,0.49,7.7,1
Signature Lasagna,"salt, garlic, lemon, vegetables, pepper, parmesan, oregano",Miami FL,casual_dining,italian,beverage,22.47,mid_range,fried,medium,dairy_free,32,,2023-08-07,summer,business_district,medium,high,north_america,279,4.2,82,0.46,12.42,1
Chicken Manchurian,"soy sauce, salt, cabbage, noodles, green chilies",Ahmedabad India,fast_food,indo_chinese,beverage,7.63,budget,steamed,medium,"mild,low_carb",15,,2022-03-19,spring,residential,high,medium,india,411,4.3,113,0.5,3.78,1
Shakshuka,"lime, herbs, oregano, butter, pepper, vegetables",Lucknow India,fast_food,mediterranean,main_course,8.83,budget,steamed,hot,"keto,paleo",41,,2022-05-14,spring,tourist_area,medium,low,india,297,4.0,66,0.62,2.73,1
Chef's Fried Chicken,"spices, seasonings, salt, lettuce, onion",Seattle WA,cafe,american,dessert,8.41,mid_range,baked,mild,"mild,gluten_free",29,,2023-10-03,fall,suburban,medium,high,north_america,111,4.5,11,0.51,3.5,1
Classic Burger,"beef, potatoes, cheese, bread",Toronto Canada,food_truck,american,appetizer,6.65,budget,fried,very_hot,none,16,,2022-04-15,spring,tourist_area,high,high,north_america,113,3.9,28,0.55,2.56,1
Apple Pie,"beef, butter, onions, bread, pepper, spices, lime",London UK,casual_dining,american,appetizer,13.54,budget,fried,mild,"paleo,low_carb,mild",27,,2022-09-11,fall,downtown,high,high,europe,322,4.7,71,0.59,6.0,1
Locho,"oil, turmeric, cream, salt",London UK,fine_dining,gujarati,main_course,44.74,upscale,steamed,mild,none,18,,2022-11-21,fall,residential,high,high,europe,164,4.9,34,0.49,22.61,1
Signature Mac and Cheese,"chicken, oil, potatoes, bread, tomato, vegetables, lime",Chicago IL,fast_food,american,side_dish,5.55,budget,sauteed,medium,"vegan,keto",19,,2022-07-28,summer,business_district,high,medium,north_america,645,4.4,172,0.57,1.96,1
Premium Spaghetti Carbonara,"cream, lime, oregano, mozzarella",Birmingham UK,cafe,italian,appetizer,4.98,budget,grilled,medium,none,43,,2022-12-22,winter,business_district,high,medium,europe,218,4.3,38,0.58,2.4,1
Signature Modak,"coconut, herbs, green chilies, ginger garlic, cream, pepper",Leicester UK,fast_food,maharashtrian,side_dish,6.1,budget,baked,mild,"spicy,gluten_free,paleo",17,,2022-04-16,spring,suburban,medium,medium,europe,255,3.9,69,0.48,3.13,1
Tiramisu,"garlic, basil, spices, pepper, cream, vegetables, mozzarella",Chennai India,casual_dining,italian,dessert,12.71,budget,raw,mild,"vegan,nut_free",21,,2022-02-23,winter,suburban,high,medium,india,153,5.0,17,0.56,5.12,1
Greek Salad,"cream, spices, butter, garlic, lettuce, vegetables",Mumbai India,fine_dining,mediterranean,main_course,43.65,upscale,roasted,medium,vegetarian,24,,2022-01-25,winter,business_district,very_high,medium,india,175,5.0,50,0.43,26.4,1
